Atomnummer,Symbol,Navn,Molarmasse,Protoner,Elektroner,Elektronegativitet
1,H,Hydrogen,1.008,1,1,2.20
2,He,Helium,4.003,2,2,
3,Li,Lithium,6.941,3,3,0.98
4,Be,Beryllium,9.012,4,4,1.57
5,B,Boron,10.811,5,5,02.04
6,C,Carbon,12.011,6,6,2.55
7,N,Nitrogen,14.007,7,7,03.04
8,O,Oxygen,15.999,8,8,3.44
9,F,Fluorine,18.998,9,9,3.98
10,Ne,Neon,20.180,10,10,
11,Na,Sodium,22.990,11,11,0.93
12,Mg,Magnesium,24.305,12,12,1.31
13,Al,Aluminum,26.982,13,13,1.61
14,Si,Silicon,28.086,14,14,1.90
15,P,Phosphorus,30.974,15,15,2.19
16,S,Sulfur,32.065,16,16,2.58
17,Cl,Chlorine,35.453,17,17,3.16
18,Ar,Argon,39.948,18,18,
19,K,Potassium,39.098,19,19,0.82
20,Ca,Calcium,40.078,20,20,1.00
21,Sc,Scandium,44.956,21,21,1.36
22,Ti,Titanium,47.867,22,22,1.54
23,V,Vanadium,50.942,23,23,1.63
24,Cr,Chromium,51.996,24,24,1.66
25,Mn,Manganese,54.938,25,25,1.55
26,Fe,Iron,55.845,26,26,1.83
27,Co,Cobalt,58.933,27,27,1.88
28,Ni,Nickel,58.693,28,28,1.91
29,Cu,Copper,63.546,29,29,1.90
30,Zn,Zinc,65.38,30,30,1.65
31,Ga,Gallium,69.723,31,31,1.81
32,Ge,Germanium,72.63,32,32,02.01
33,As,Arsenic,74.922,33,33,2.18
34,Se,Selenium,78.96,34,34,2.55
35,Br,Bromine,79.904,35,35,2.96
36,Kr,Krypton,83.798,36,36,3.00
37,Rb,Rubidium,85.468,37,37,0.82
38,Sr,Strontium,87.62,38,38,0.95
39,Y,Yttrium,88.906,39,39,1.22
40,Zr,Zirconium,91.224,40,40,1.33
41,Nb,Niobium,92.906,41,41,1.6
42,Mo,Molybdenum,95.96,42,42,2.16
43,Tc,Technetium,98,43,43,1.9
44,Ru,Ruthenium,101.07,44,44,2.2
45,Rh,Rhodium,102.906,45,45,2.28
46,Pd,Palladium,106.42,46,46,2.2
47,Ag,Silver,107.868,47,47,1.93
48,Cd,Cadmium,112.411,48,48,1.69
49,In,Indium,114.818,49,49,1.78
50,Sn,Tin,118.71,50,50,1.96
51,Sb,Antimony,121.76,51,51,02.05
52,Te,Tellurium,127.6,52,52,2.1
53,I,Iodine,126.904,53,53,2.66
54,Xe,Xenon,131.293,54,54,2.6
55,Cs,Cesium,132.905,55,55,0.79
56,Ba,Barium,137.327,56,56,0.89
57,La,Lanthanum,138.905,57,57,1.1
58,Ce,Cerium,140.116,58,58,1.12
59,Pr,Praseodymium,140.908,59,59,1.13
60,Nd,Neodymium,144.242,60,60,1.14
61,Pm,Promethium,145,61,61,1.13
62,Sm,Samarium,150.36,62,62,1.17
63,Eu,Europium,151.964,63,63,1.2
64,Gd,Gadolinium,157.25,64,64,1.2
65,Tb,Terbium,158.925,65,65,1.2
66,Dy,Dysprosium,162.5,66,66,1.22
67,Ho,Holmium,164.93,67,67,1.23
68,Er,Erbium,167.259,68,68,1.24
69,Tm,Thulium,168.934,69,69,1.25
70,Yb,Ytterbium,173.054,70,70,1.1
71,Lu,Lutetium,174.967,71,71,1.27
72,Hf,Hafnium,178.49,72,72,1.3
73,Ta,Tantalum,180.948,73,73,1.5
74,W,Tungsten,183.84,74,74,2.36
75,Re,Rhenium,186.207,75,75,1.9
76,Os,Osmium,190.23,76,76,2.2
77,Ir,Iridium,192.217,77,77,2.2
78,Pt,Platinum,195.084,78,78,2.28
79,Au,Gold,196.967,79,79,2.54
80,Hg,Mercury,200.59,80,80,2.0
81,Tl,Thallium,204.383,81,81,1.62
82,Pb,Lead,207.2,82,82,2.33
83,Bi,Bismuth,208.98,83,83,02.02
84,Po,Polonium,209,84,84,2.0
85,At,Astatine,210,85,85,2.2
86,Rn,Radon,222,86,86,
87,Fr,Francium,223,87,87,0.7
88,Ra,Radium,226,88,88,0.9
89,Ac,Actinium,227,89,89,1.1
90,Th,Thorium,232.038,90,90,1.3
91,Pa,Protactinium,231.036,91,91,1.5
92,U,Uranium,238.029,92,92,1.38
93,Np,Neptunium,237,93,93,1.36
94,Pu,Plutonium,244,94,94,1.28
95,Am,Americium,243,95,95,1.3
96,Cm,Curium,247,96,96,1.3
97,Bk,Berkelium,247,97,97,1.3
98,Cf,Californium,251,98,98,1.3
99,Es,Einsteinium,252,99,99,1.3
100,Fm,Fermium,257,100,100,1.3
101,Md,Mendelevium,258,101,101,1.3
102,No,Nobelium,259,102,102,1.3
103,Lr,Lawrencium,262,103,103,
104,Rf,Rutherfordium,267,104,104,
105,Db,Dubnium,270,105,105,
106,Sg,Seaborgium,271,106,106,
107,Bh,Bohrium,270,107,107,
108,Hs,Hassium,277,108,108,
109,Mt,Meitnerium,276,109,109,
110,Ds,Darmstadtium,281,110,110,
111,Rg,Roentgenium,280,111,111,
112,Cn,Copernicium,285,112,112,
113,Nh,Nihonium,284,113,113,
114,Fl,Flerovium,289,114,114,
115,Mc,Moscovium,288,115,115,
116,Lv,Livermorium,293,116,116,
117,Ts,Tennessine,294,117,117,
118,Og,Oganesson,294,118,118,
